aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
Top_Rudder,L_HandleTip,Left_Eye,Hull_Front_Top,L_Top,L_F_RoofTop,R_F_WheelCenter,L_Eye,Seat_Left_Front,L_Eye,Top_Left_Front,L_Eye,L_Eye,L_HandleTip,B_Head,Top_Left,R_Eye,Back_Top_Left,Base_Front_Left,F_Top_Left
Bot_Rudder,R_HandleTip,Right_Eye,Hull_Front_Bot,R_Top,R_F_RoofTop,R_B_WheelCenter,Nose,Seat_Left_Back,R_Eye,Top_Left_Back,R_Eye,Nose,R_HandleTip,L_Ankle,Top_Right,Nose,Back_Top_Right,Base_Front_Right,F_Top_Right
L_Stabilizer,HandleCenter,Beak_Base,Hull_Back_Top,L_Neck,L_F_Base,R_TailLight,L_EarBase,Seat_Right_Front,Nose,Top_Right_Front,Nose,L_EarBase,HandleCenter,L_Ear,Top_Front_Middle,R_EarBase,Right_Junction,Roof_Front_Middle,F_Bottom_Left
R_Stabilizer,SeatBase,Beak_Tip,Hull_Back_Bot,R_Neck,R_F_Base,R_SideviewMirror,R_EarBase,Seat_Right_Back,L_EarBase,Top_Right_Back,L_EarBase,Throat,SeatBase,L_Elbow,Top_Back_Middle,Throat,Handle_Front_Left,Base_Back_Right,F_Bottom_Right
L_WingTip,F_WheelCenter,Lower_Neck_Base,Hull_Mid_Left_Top,L_Shoulder,L_B_RoofTop,R_F_RoofTop,Throat,Leg_Left_Front,R_EarBase,Bot_Left_Front,R_EarBase,Withers,B_WheelCenter,L_Eye,Bottom_Left,Withers,Handle_Front_Right,Roof_Back_Right,B_Top_Right
R_WingTip,B_WheelCenter,Upper_Neck_Base,Hull_Mid_Right_Top,R_Shoulder,R_B_RoofTop,L_B_RoofTop,Withers,Leg_Left_Back,Throat,Bot_Right_Front,Throat,TailBase,B_WheelEnd,L_Hip,Bottom_Right,TailBase,Handle_Right_Junction,Base_Back_Left,B_Bottom_Right
NoseTip,F_WheelIntersection,Leg_Center,Hull_Mid_Right_Bot,L_Base,L_B_Base,R_B_RoofTop,R_Eye,Leg_Right_Front,Withers,Bot_Right_Back,TailBase,L_F_Elbow,TailLight,L_Knee,,L_F_Elbow,Front_Base_Left,Roof_Back_Left,B_Top_Left
Nose_Top,B_WheelIntersection,Left_Wing_Base,Hull_Mid_Left_Bot,R_Base,R_B_Base,R_HeadLight,TailBase,Leg_Right_Back,TailBase,Bot_Left_Back,L_F_Elbow,R_F_Elbow,F_WheelCenter,L_Shoulder,,R_F_Elbow,Front_Base_Right,,B_Bottom_Left
Nose_Bottom,F_WheelEnd,Left_Wing_Tip,Mast_Top,,,L_F_RoofTop,L_F_Elbow,BackRest_Top_Left,L_F_Elbow,,R_F_Elbow,L_B_Elbow,F_WheelEnd,L_Toes,,L_B_Elbow,Left_Junction,,
Left_Wing_Base,B_WheelEnd,Tail_Tip,Sail_Left,,,L_TailLight,L_B_Elbow,BackRest_Top_Right,R_F_Elbow,,L_B_Elbow,L_F_Paw,ExhaustPipeEnd,L_Wrist,,R_B_Elbow,Handle_Left_Junction,,
Right_Wing_Base,CranksetCenter,Right_Wing_Base,Sail_Right,,,L_HeadLight,L_B_Paw,,L_F_Paw,,L_F_Paw,R_F_Paw,,Nose,,L_F_Paw,Back_Base_Left,,
Bot_Rudder_Front,,Right_Wing_Tip,,,,L_SideviewMirror,R_F_Elbow,,R_F_Paw,,R_F_Paw,L_B_Paw,,R_Elbow,,R_F_Paw,Back_Base_Right,,
Left_Engine_Back,,,,,,L_F_WheelCenter,R_B_Elbow,,L_B_Paw,,L_B_Paw,R_B_Paw,,R_Hip,,L_B_Paw,,,
Left_Engine_Front,,,,,,L_B_WheelCenter,L_F_Paw,,L_B_Elbow,,R_B_Paw,R_EarBase,,R_Shoulder,,R_B_Paw,,,
Right_Engine_Front,,,,,,,R_F_Paw,,R_B_Elbow,,Withers,R_B_Elbow,,R_Wrist,,L_Eye,,,
Right_Engine_Back,,,,,,,R_B_Paw,,R_B_Paw,,R_B_Elbow,R_Eye,,R_Ankle,,L_EarBase,,,
,,,,,,,,,,,,,,R_Knee,,,,,
,,,,,,,,,,,,,,R_Toes,,,,,
,,,,,,,,,,,,,,R_Ear,,,,,
,,,,,,,,,,,,,,R_Eye,,,,,
